class_one,class_two,class_three,Job_name,job_company,job_link,low_salary,job_release_time,job_experience,job_edu,job_area,job_welfare
技术,后端开发,Java,高级java开发工程师/专家/高级专家,蚂蚁金服集团,https://www.lagou.com/jobs/3761654.html,20,2017-10-30,经验不限 , 本科,成都·高新区,"“牛人,高薪,机会,挑战”"
技术,后端开发,Java,JAVA开发工程师,贝米钱包,https://www.lagou.com/jobs/3460689.html,15,16:34发布,经验不限 , 本科,上海·徐家汇,"“商业保险,年度旅游,带薪年病假,弹性上班制”"
技术,后端开发,Java,Java开发工程师,拉勾网,https://www.lagou.com/jobs/3457062.html,15,10:26发布,经验3-5年 , 本科,北京·苏州街,“技术挑战与个人成长空间”
技术,后端开发,Java,JAVA,曙奇互娱,https://www.lagou.com/jobs/3321808.html,13,15:19发布,经验3-5年 , 本科,上海·田林,"“五险一金,年底双薪,定期旅游,定期体检”"
技术,后端开发,Java,Java开发,泛微,https://www.lagou.com/jobs/2443792.html,13,10:46发布,经验1-3年 , 本科,上海·浦江,“美味三餐下午茶，半年调薪，境外旅游”
技术,后端开发,Java,Java开发工程师,中金支付有限公司,https://www.lagou.com/jobs/429813.html,10,2017-11-02,经验1-3年 , 本科,北京·永定门,“绩效奖金 带薪年假 免费体检 补充医疗”
技术,后端开发,Java,Java开发,灿福科技,https://www.lagou.com/jobs/3175811.html,12,18:36发布,经验3-5年 , 本科,上海·江苏路地铁,"“技术控,领导幽默,年轻小伙伴,福利多多”"
技术,后端开发,Java,java开发工程师,小米,https://www.lagou.com/jobs/3801926.html,18,18:02发布,经验3-5年 , 本科,北京·清河,"“餐补班车,期权激励,年终奖金,补充医疗”"
技术,后端开发,Java,Java研发,上海宏鹿信息技术服务有限公司,https://www.lagou.com/jobs/3802249.html,15,18:56发布,经验3-5年 , 本科,上海·张江,"“发展空间大,年终奖”"
技术,后端开发,Java,Java开发工程师,有鱼金融科技,https://www.lagou.com/jobs/3304725.html,16,08:57发布,经验3-5年 , 本科,上海·漕宝路,“技术大牛、扁平化管理、高速发展互联网公司”
技术,后端开发,Java,java开发工程师,尚德机构,https://www.lagou.com/jobs/3799121.html,15,13:30发布,经验3-5年 , 本科,武汉·光谷,“团队氛围好 发展空间大”
技术,后端开发,Java,Java开发工程师,CLPS,https://www.lagou.com/jobs/3801475.html,14,17:14发布,经验3-5年 , 本科,广州·沙河,“金融项目”
技术,后端开发,Java,Java工程师,洋钱罐,https://www.lagou.com/jobs/3801727.html,10,17:39发布,经验1-3年 , 硕士,北京·团结湖,"“技术分享,年底双薪,技术驱动,氛围轻松”"
技术,后端开发,Java,Java研发工程师,51社保网,https://www.lagou.com/jobs/3699023.html,12,15:57发布,经验3-5年 , 本科,北京·建外大街,"“互联网大咖,七险一金,地铁周边,团建丰富”"
技术,后端开发,Java,Java开发,文思海辉,https://www.lagou.com/jobs/3800239.html,10,15:29发布,经验3-5年 , 大专,杭州·余杭区,"“大平台,六险一金,晋升空间大,学习机会多”"
技术,后端开发,Java,Java工程师,拉勾网,https://www.lagou.com/jobs/3237453.html,15,2017/11/6,经验3-5年 , 本科,北京·苏州街,“快速发展的业务和足够的技术挑战”
技术,后端开发,Java,Java,泛微,https://www.lagou.com/jobs/2472498.html,12,10:46发布,经验3-5年 , 大专,上海·浦江,“半年调薪 福利待遇佳 境外旅游 包四餐”
技术,后端开发,Java,JAVA开发工程师,尚德机构,https://www.lagou.com/jobs/3798546.html,15,11:38发布,经验1-3年 , 本科,武汉·光谷,“向上空间”
技术,后端开发,Java,Java工程师,洋钱罐,https://www.lagou.com/jobs/3801707.html,10,17:37发布,经验1-3年 , 本科,北京·团结湖,"“互金独角兽,技术驱动,工作氛围好,弹性工作制”"
技术,后端开发,Java,JAVA开发工程师,文思海辉,https://www.lagou.com/jobs/3799602.html,15,14:28发布,经验5-10年 , 本科,北京·朝阳区,"“六险一金,带薪年假,周末双休,公司氛围好”"
技术,后端开发,Java,Java,壹米滴答,https://www.lagou.com/jobs/2260060.html,15,08:38发布,经验5-10年 , 大专,上海,“新平台 新机遇 新挑战”
技术,后端开发,Java,Java开发工程师,链家上海研发中心,https://www.lagou.com/jobs/2401622.html,14,2017/11/7,经验3-5年 , 本科,上海,“大平台 新项目 成长多”
技术,后端开发,Java,JAVA工程师,桔子分期,https://www.lagou.com/jobs/2814041.html,8,18:24发布,经验3-5年 , 本科,大连·海事大学,"“五险一金,发展空间,扁平管理,弹性工作”"
技术,后端开发,Java,Java开发工程师,上海你我贷互联网金融信息服务,https://www.lagou.com/jobs/3800709.html,18,16:09发布,经验3-5年 , 本科,上海·东方路,"“大牛云集,互联网金融,分布式开发,美女众多”"
技术,后端开发,Java,JAVA工程师,51社保网,https://www.lagou.com/jobs/3736943.html,18,15:57发布,经验5-10年 , 本科,北京·建外大街,"“技术大咖,弹性工作,地铁周边,七险一金”"
技术,后端开发,Java,Java,乐天创研,https://www.lagou.com/jobs/2013118.html,21,09:26发布,经验3-5年 , 本科,上海·长寿路,“出国培训，跨境电商，不加班，14薪”
技术,后端开发,Java,Java工程师,ENJOY,https://www.lagou.com/jobs/3799975.html,15,15:04发布,经验1-3年 , 本科,北京·三里屯,"“弹性上班,零食无限,带薪年假,美女如云”"
技术,后端开发,Java,Java开发工程师,趣丸,https://www.lagou.com/jobs/3799426.html,8,14:10发布,经验1-3年 , 本科,广州·棠下,"“发展空间大,技术氛围好,大牛多,福利好”"
技术,后端开发,Java,java开发工程师,京东商城,https://www.lagou.com/jobs/3799334.html,15,14:01发布,经验3-5年 , 本科,北京·大兴区,"“java,统招本科”"
技术,后端开发,Java,JAVA,大众出行,https://www.lagou.com/jobs/3798566.html,15,11:39发布,经验3-5年 , 本科,上海·徐汇区,"“五险一金,自由工时制,绩效奖金,公司午餐”"
技术,后端开发,Java,Java工程师,拉勾网,https://www.lagou.com/jobs/2914210.html,15,2017/11/6,经验5-10年 , 本科,北京·中关村,“技术挑战、工作居住证、美味果盘、运动健身”
技术,后端开发,Java,java开发,泛微,https://www.lagou.com/jobs/2681108.html,12,10:46发布,经验1-3年 , 本科,上海·浦江,“年终奖一年加薪两次绩效奖金一日四餐”
技术,后端开发,Java,JAVA开发工程师,尚德机构,https://www.lagou.com/jobs/3799647.html,10,14:32发布,经验3-5年 , 本科,北京·来广营,"“准上市公司,五险一金”"
技术,后端开发,Java,Java开发工程师,51社保网,https://www.lagou.com/jobs/3699039.html,18,15:57发布,经验5-10年 , 本科,北京·建外大街,"“互联网大咖,地铁周边,七险一金,团建丰富”"
技术,后端开发,Java,Java开发工程师,乐天创研,https://www.lagou.com/jobs/3586997.html,10,09:26发布,经验3-5年 , 本科,大连·中山区,"“跨境电商,和谐稳定,出国培训,不加班”"
技术,后端开发,Java,Java开发工程师,链家上海研发中心,https://www.lagou.com/jobs/699510.html,15,2017/11/7,经验3-5年 , 本科,上海·吴江路,“万亿级O2O平台 一年两次调薪 季度奖金”
技术,后端开发,Java,Java开发工程师,开科唯识,https://www.lagou.com/jobs/3798359.html,7,11:18发布,经验1-3年 , 本科,佛山·桂城,"“五险一金,金融项目,弹性工作,晋升空间”"
技术,后端开发,Java,Java,浙江执御信息技术有限公司,https://www.lagou.com/jobs/2472508.html,15,09:11发布,经验3-5年 , 大专,杭州·拱墅区,"“扁平化管理,年终奖金,带薪休假,旅游活动”"
技术,后端开发,Java,Java开发,有鱼金融科技,https://www.lagou.com/jobs/688530.html,15,09:07发布,经验3-5年 , 本科,上海·漕宝路,“无限发挥空间，快来跟牛逼的团队一起战斗！”
技术,后端开发,Java,Java,壹米滴答,https://www.lagou.com/jobs/2517279.html,15,08:38发布,经验3-5年 , 本科,上海,“福利待遇好、员工旅游、交社保”
技术,后端开发,Java,java开发工程师,金证股份,https://www.lagou.com/jobs/3799736.html,7,14:40发布,经验3-5年 , 本科,上海·唐镇,"“假期多,加班少,环境好,旅游”"
技术,后端开发,Java,Java开发工程师,趣丸,https://www.lagou.com/jobs/3799458.html,8,14:14发布,经验1-3年 , 本科,广州·棠下,"“发展空间大,技术氛围好,大牛多,福利好”"
技术,后端开发,Java,Java开发工程师,江苏亿科达,https://www.lagou.com/jobs/3298523.html,10,09:41发布,经验3-5年 , 大专,上海·浦东新区,"“五险一金,年终奖,体检旅游,过节费”"
技术,后端开发,Java,Java开发工程师,zilliz,https://www.lagou.com/jobs/3320102.html,15,09:17发布,经验3-5年 , 本科,上海·徐汇区,"“丰厚期权,行业高薪,前沿技术,精英团队”"
技术,后端开发,Java,Java开发工程师,360,https://www.lagou.com/jobs/3719059.html,15,2017-10-18,经验3-5年 , 本科,北京·酒仙桥,“团队专业，福利好，有班车，管三餐”
技术,后端开发,Ruby,ruby开发工程师,360企业安全,https://www.lagou.com/jobs/3801752.html,15,17:41发布,经验3-5年 , 不限,北京·酒仙桥,“五险一金，弹性工作，餐饮补贴，节日福利”
技术,后端开发,Ruby,Ruby开发工程师,Udesk－企业级智能客服平台,https://www.lagou.com/jobs/3655862.html,10,13:35发布,经验1-3年 , 本科,北京·西直门,"“技术牛逼,晋升机会多,待遇好,团队氛围好”"
技术,后端开发,Ruby,Ruby 开发,新希望软件,https://www.lagou.com/jobs/2550526.html,9,13:37发布,经验1-3年 , 本科,宁波·倪家堰,“升值空间，出国机会，认真踏实做事”
技术,后端开发,Ruby,Ruby,北京盛安德,https://www.lagou.com/jobs/3632019.html,10,17:37发布,经验3-5年 , 本科,苏州·独墅湖,“弹性工作不打卡；专业Ruby开发团队”
技术,后端开发,Ruby,Ruby开发工程师,新氧盒子,https://www.lagou.com/jobs/3401654.html,20,09:37发布,经验1-3年 , 本科,北京·朝阳区,"“年底多薪,带薪旅游,下午茶,晋升空间大”"
技术,后端开发,Ruby,Ruby,中电博亚,https://www.lagou.com/jobs/2532097.html,15,10:18发布,经验3-5年 , 本科,杭州·西湖,"“五险一金,双休+年假,丰厚年终,零食+旅游”"
技术,后端开发,Ruby,Ruby开发工程师,tap4fun,https://www.lagou.com/jobs/2806399.html,15,09:44发布,经验不限 , 本科,成都·高新区,“六险一金”
技术,后端开发,Ruby,Ruby开发工程师,机智云,https://www.lagou.com/jobs/2315590.html,8,11:02发布,经验1-3年 , 大专,广州,“五险一金 定期体检 国内外旅游 交通补贴”
技术,后端开发,Ruby,Ruby 工程师,无二之旅,https://www.lagou.com/jobs/3541775.html,12,10:57发布,经验不限 , 本科,北京·大望路,"“午餐晚餐,rMPB,人体工学椅”"
技术,后端开发,Ruby,高级ruby开发工程师,掌门集团,https://www.lagou.com/jobs/3797671.html,15,10:23发布,经验3-5年 , 本科,上海·张江,"“福利好,氛围好,前景佳”"
技术,后端开发,Ruby,Ruby 工程师,Strikingly,https://www.lagou.com/jobs/1930557.html,15,11:10发布,经验不限 , 不限,上海,“产品导向 国际化团队 营养三餐 各种福利”
技术,后端开发,Ruby,Ruby开发工程师,金山办公软件,https://www.lagou.com/jobs/3703629.html,15,2017/11/6,经验不限 , 大专,珠海·上地,"“团队旅游,自助三餐,补充医疗,年终奖”"
技术,后端开发,Ruby,Ruby 开发工程师,智慧工场,https://www.lagou.com/jobs/2578509.html,9,2017/11/6,经验1-3年 , 大专,成都·高新区,"“年轻团队,成长空间大,重视能力,六险一金”"
技术,后端开发,Ruby,资深Ruby工程师,英语流利说,https://www.lagou.com/jobs/2109671.html,20,2017/11/6,经验3-5年 , 本科,上海·杨浦区,“硅谷氛围 mac办公 私厨三餐”
技术,后端开发,Ruby,Ruby开发工程师,脚印数据,https://www.lagou.com/jobs/3279435.html,15,2017/11/6,经验3-5年 , 大专,深圳·科技园,"“大牛教做人,队员傻兮兮,队员乐呵呵,当家做主人”"
技术,后端开发,Ruby,Ruby,北京盛安德,https://www.lagou.com/jobs/3478449.html,10,17:37发布,经验3-5年 , 本科,武汉·卓刀泉,“弹性工作不打卡；Ruby专业团队；”
技术,后端开发,Ruby,Ruby,Udesk－企业级智能客服平台,https://www.lagou.com/jobs/2330589.html,10,09:17发布,经验1-3年 , 本科,北京,“高成长企业，团队强悍，待遇丰厚”
技术,后端开发,Ruby,Ruby 工程师,掌门集团,https://www.lagou.com/jobs/3359645.html,15,2017/11/6,经验3-5年 , 本科,上海·浦东新区,"“大流量,React”"
技术,后端开发,Ruby,Ruby 工程师,悠安致,https://www.lagou.com/jobs/3666479.html,10,2017/11/7,经验1-3年 , 本科,上海·浦东新区,"“大牛团队,医疗背景,提升技能,技术气氛”"
