class_one,class_two,class_three,Job_name,job_company,job_link,low_salary,job_release_time,job_experience,job_edu,job_area,job_welfare
技术,后端开发,Java,中级java工程师,INK 银客集团,https://www.lagou.com/jobs/3764362.html,15,2017/11/6,经验3-5年 , 本科,北京·海淀区,"“七险一金,16薪考核,弹性工作,极客牛人”"
技术,后端开发,Java,JAVA开发工程师,贝米钱包,https://www.lagou.com/jobs/3460689.html,15,16:34发布,经验不限 , 本科,上海·徐家汇,"“商业保险,年度旅游,带薪年病假,弹性上班制”"
技术,后端开发,Java,Java开发工程师,拉勾网,https://www.lagou.com/jobs/3457062.html,15,10:26发布,经验3-5年 , 本科,北京·苏州街,“技术挑战与个人成长空间”
技术,后端开发,Java,JAVA,曙奇互娱,https://www.lagou.com/jobs/3321808.html,13,15:19发布,经验3-5年 , 本科,上海·田林,"“五险一金,年底双薪,定期旅游,定期体检”"
技术,后端开发,Java,Java开发,泛微,https://www.lagou.com/jobs/2058532.html,15,10:46发布,经验3-5年 , 本科,上海·浦江,“一日四餐 一年加薪两次 绩效奖金 年终奖”
技术,后端开发,Java,Java开发工程师,中金支付有限公司,https://www.lagou.com/jobs/429813.html,10,2017-11-02,经验1-3年 , 本科,北京·永定门,“绩效奖金 带薪年假 免费体检 补充医疗”
技术,后端开发,Java,Java开发,灿福科技,https://www.lagou.com/jobs/3175811.html,12,18:36发布,经验3-5年 , 本科,上海·江苏路地铁,"“技术控,领导幽默,年轻小伙伴,福利多多”"
技术,后端开发,Java,Java研发,上海宏鹿信息技术服务有限公司,https://www.lagou.com/jobs/3802249.html,15,18:56发布,经验3-5年 , 本科,上海·张江,"“发展空间大,年终奖”"
技术,后端开发,Java,java开发工程师,小米,https://www.lagou.com/jobs/3801926.html,18,18:02发布,经验3-5年 , 本科,北京·清河,"“餐补班车,期权激励,年终奖金,补充医疗”"
技术,后端开发,Java,java开发工程师,尚德机构,https://www.lagou.com/jobs/3799121.html,15,13:30发布,经验3-5年 , 本科,武汉·光谷,“团队氛围好 发展空间大”
技术,后端开发,Java,Java开发工程师,有鱼金融科技,https://www.lagou.com/jobs/3304725.html,16,08:57发布,经验3-5年 , 本科,上海·漕宝路,“技术大牛、扁平化管理、高速发展互联网公司”
技术,后端开发,Java,JAVA工程师,桔子分期,https://www.lagou.com/jobs/2814041.html,8,18:24发布,经验3-5年 , 本科,大连·海事大学,"“五险一金,发展空间,扁平管理,弹性工作”"
技术,后端开发,Java,Java开发工程师,CLPS,https://www.lagou.com/jobs/3801475.html,14,17:14发布,经验3-5年 , 本科,广州·沙河,“金融项目”
技术,后端开发,Java,JAVA工程师,51社保网,https://www.lagou.com/jobs/3736943.html,18,15:57发布,经验5-10年 , 本科,北京·建外大街,"“技术大咖,弹性工作,地铁周边,七险一金”"
技术,后端开发,Java,Java开发,文思海辉,https://www.lagou.com/jobs/3800239.html,10,15:29发布,经验3-5年 , 大专,杭州·余杭区,"“大平台,六险一金,晋升空间大,学习机会多”"
技术,后端开发,Java,Java工程师,拉勾网,https://www.lagou.com/jobs/3237453.html,15,2017/11/6,经验3-5年 , 本科,北京·苏州街,“快速发展的业务和足够的技术挑战”
技术,后端开发,Java,java开发,泛微,https://www.lagou.com/jobs/2681108.html,12,10:46发布,经验1-3年 , 本科,上海·浦江,“年终奖一年加薪两次绩效奖金一日四餐”
技术,后端开发,Java,JAVA开发工程师,尚德机构,https://www.lagou.com/jobs/3798546.html,15,11:38发布,经验1-3年 , 本科,武汉·光谷,“向上空间”
技术,后端开发,Java,Java开发工程师,51社保网,https://www.lagou.com/jobs/3699039.html,18,15:57发布,经验5-10年 , 本科,北京·建外大街,"“互联网大咖,地铁周边,七险一金,团建丰富”"
